artist,track_name,arousal,valence,tempo,rms_mean,rms_std,centroid_mean,rolloff_mean,zcr_mean,mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_0_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,contrast_0,contrast_1,contrast_2,contrast_3,contrast_4,contrast_5,contrast_6,mood_id,mood
Amy Winehouse,Back to Black,0.6910446158269902,0.6072633038807795,123.046875,0.2694541811943054,0.08794185519218445,0.08944895463835438,0.18393460181451612,0.0972297127016129,-36.84897994995117,116.01195526123047,-13.835360527038574,25.9180850982666,-7.812690258026123,14.741194725036621,-5.015719413757324,12.647978782653809,-5.612720012664795,8.337993621826172,-5.683474063873291,-0.8232975006103516,0.7482093572616577,48.399227142333984,33.75272750854492,21.70049285888672,13.437666893005371,13.068740844726562,13.113198280334473,9.484241485595703,9.231292724609375,10.406554222106934,10.1317720413208,8.65559196472168,7.215983867645264,6.94133186340332,0.3067965507507324,0.42588457465171814,0.5444968938827515,0.3160851299762726,0.29506221413612366,0.2698664367198944,0.21665459871292114,0.26092851161956787,0.35301584005355835,0.6171289682388306,0.4014681577682495,0.3244108259677887,17.999087765033977,15.656641450948246,19.023819248236137,20.23602708701667,19.70763509173817,19.185638899839994,52.83124985958386,4,energetic
The National,Sorrow,0.629458705391611,0.6194658845337256,123.046875,0.244286447763443,0.07120639830827713,0.07180493608105001,0.1506508998275236,0.05501018405047204,-58.80663299560547,129.94142150878906,1.9208791255950928,18.350231170654297,3.557182550430298,8.278050422668457,2.5197832584381104,3.254703998565674,-2.7521326541900635,3.306527853012085,3.310570001602173,2.118557929992676,1.0464013814926147,40.885963439941406,26.090965270996094,16.299470901489258,8.66989803314209,9.879091262817383,10.41193962097168,6.683901309967041,7.659127235412598,10.021068572998047,6.384605407714844,6.614224433898926,5.665344715118408,5.899143695831299,0.3649270832538605,0.6034465432167053,0.3010285496711731,0.34285804629325867,0.4067343771457672,0.38130810856819153,0.43581947684288025,0.4013691246509552,0.5692224502563477,0.4392941892147064,0.3186667561531067,0.3689826428890228,20.353126353606765,14.525187603865584,18.002869477472213,17.042866197652337,17.162348161390337,17.193141334686665,47.9874349521147,2,focus
Radiohead,How to Disappear Completely,0.578514131034357,0.6232463594030517,103.359375,0.15442928671836853,0.041318729519844055,0.060187171177623636,0.11907325140704429,0.04156418788580247,-137.785888671875,136.73690795898438,17.780729293823242,21.35801887512207,10.840790748596191,10.083039283752441,-4.186731815338135,0.6355574131011963,-0.08205942064523697,4.6453166007995605,-5.526454448699951,5.494242191314697,-5.335054397583008,38.68246841430664,17.014726638793945,14.55036449432373,11.841419219970703,8.685991287231445,8.529752731323242,6.734604835510254,7.178913593292236,7.095243453979492,5.845890045166016,6.608225345611572,5.594552040100098,5.643772602081299,0.2865002453327179,0.7483999729156494,0.503441572189331,0.2585635483264923,0.27221864461898804,0.3042508661746979,0.46238380670547485,0.2997753322124481,0.36883988976478577,0.4095591902732849,0.24572335183620453,0.20086754858493805,20.965326532942772,16.403441310788097,21.336073448403443,20.38473685696224,20.745344714684993,17.265005623121844,48.88763411143391,3,love
Nina Simone,Feeling Good,0.698455239124634,0.6020546732992085,112.34714673913044,0.15016673505306244,0.06333683431148529,0.10510222503635179,0.21161803135888502,0.11130288862877467,-85.44786834716797,90.85823822021484,-19.11567497253418,17.791461944580078,-11.386154174804688,3.413893461227417,-13.760872840881348,-3.4210402965545654,-6.612220764160156,-4.427006721496582,-11.523444175720215,-2.0390732288360596,-6.281891822814941,53.817955017089844,30.35536003112793,18.078771591186523,14.672369003295898,13.041187286376953,9.199945449829102,11.333939552307129,10.005982398986816,9.00154972076416,8.96233081817627,8.8742094039917,8.95466136932373,8.68947982788086,0.3000624179840088,0.306546688079834,0.45295295119285583,0.2382352501153946,0.21560077369213104,0.2475380003452301,0.25423121452331543,0.4049299955368042,0.24518603086471558,0.2791879177093506,0.3276941478252411,0.2017875462770462,17.630698534672476,16.790536179654342,20.30936722251677,20.07095831280105,20.412275182628285,19.45530464457533,50.52135425345262,4,energetic
Jeff Buckley,Hallelujah,0.5152031116051417,0.6343799597504023,95.703125,0.10865958780050278,0.05141225829720497,0.07160453903473361,0.13722719254032256,0.07247101814516128,-198.10205078125,124.47027587890625,-18.94923210144043,27.63936424255371,14.150707244873047,-4.509470462799072,-5.328385829925537,0.037490785121917725,-18.685043334960938,-6.322857856750488,-4.897846698760986,-7.7154927253723145,-6.297830104827881,86.34392547607422,38.05535125732422,29.11474609375,16.809873580932617,19.0954647064209,12.929594993591309,11.613383293151855,10.281417846679688,9.822858810424805,10.977899551391602,9.882704734802246,10.093549728393555,9.394137382507324,0.4149612486362457,0.23019550740718842,0.24939490854740143,0.25096970796585083,0.2933492660522461,0.23054012656211853,0.23276560008525848,0.377539724111557,0.3337455987930298,0.2990485429763794,0.15634296834468842,0.2036966234445572,22.445622581158965,20.34718509602313,23.17867105140563,20.019058576335187,21.176856006394157,23.925051402057466,49.59834877259906,1,calm
Lana Del Rey,Video Games,0.6308529476847009,0.6162123828880144,117.45383522727273,0.20310014486312866,0.08743572235107422,0.07261091396441033,0.14360245040904293,0.062166690490851516,-120.66262817382812,136.19606018066406,2.2332420349121094,18.975004196166992,-1.0448613166809082,-0.8427184820175171,1.5259732007980347,-7.302945137023926,7.070302963256836,-9.133993148803711,-3.542036771774292,-8.292744636535645,-6.67196798324585,53.35295104980469,32.46085739135742,24.008502960205078,18.269987106323242,14.684653282165527,12.272183418273926,13.465045928955078,12.603694915771484,10.796290397644043,11.566995620727539,9.1360502243042,9.650581359863281,9.369755744934082,0.20483411848545074,0.39087778329849243,0.29423099756240845,0.18811166286468506,0.3331420421600342,0.2717188596725464,0.28710034489631653,0.17163699865341187,0.243981271982193,0.43177133798599243,0.29181182384490967,0.20331093668937683,19.198435199980928,18.653114672490595,19.99105034322196,20.84508758537239,19.724860632238983,20.023408715689946,47.90075855164383,2,focus
Daft Punk,Veridis Quo,0.5930965181122118,0.5982994779593782,107.666015625,0.18079699575901031,0.07801362127065659,0.05434369744192162,0.10308942351772617,0.04897078908160147,-137.65255737304688,148.72412109375,5.365167140960693,19.312498092651367,-1.5885182619094849,17.364913940429688,-3.010143756866455,1.8869575262069702,-6.730127334594727,3.1157779693603516,-2.017089366912842,3.546797752380371,-1.1753675937652588,39.65677261352539,19.211742401123047,19.690444946289062,15.5798978805542,13.45341968536377,14.497674942016602,11.427298545837402,11.827584266662598,11.408391952514648,11.093779563903809,9.8524751663208,9.2379789352417,8.483331680297852,0.39436328411102295,0.22246642410755157,0.3498965799808502,0.2201303392648697,0.4013652503490448,0.34109213948249817,0.28771287202835083,0.4518083930015564,0.3786906599998474,0.5870042443275452,0.28557634353637695,0.36452022194862366,17.301000476111646,16.296640910855256,22.662315803094597,22.512068694985604,22.011741219115866,19.5982534345725,50.58995974176528,2,focus
Explosions in the Sky,Your Hand in Mine,0.6234605831314656,0.6215235037359983,123.046875,0.14533831179141998,0.03242415562272072,0.07241374100033358,0.15614852345660146,0.05853256561353912,-135.5526580810547,109.0306396484375,-1.2815206050872803,53.40618896484375,44.0097541809082,9.402046203613281,3.2149786949157715,11.271305084228516,-13.274253845214844,-5.357713222503662,6.181248664855957,10.210006713867188,-2.698683977127075,33.17407989501953,21.044435501098633,12.46098804473877,6.718013763427734,8.604009628295898,6.5794219970703125,5.759576320648193,5.312292098999023,5.681962490081787,5.610240459442139,4.629687309265137,5.690497875213623,6.398446083068848,0.3643738627433777,0.34065747261047363,0.28902843594551086,0.47023382782936096,0.5410006046295166,0.33230942487716675,0.4393966495990753,0.2616008520126343,0.3751787543296814,0.35327044129371643,0.34984290599823,0.49175211787223816,20.138860760338986,17.234298120264185,19.94768304389042,19.643425845047798,21.195359104971587,18.29113018615125,46.35676879467241,3,love
Moby,Porcelain,0.6436165910226135,0.6243856900617142,95.703125,0.2519989609718323,0.07251405715942383,0.11505009507537806,0.25737021169354835,0.08666015625,-42.79615020751953,74.42365264892578,8.300867080688477,34.84169006347656,12.074931144714355,11.798593521118164,6.51259183883667,8.860038757324219,7.23483943939209,9.971919059753418,4.199742317199707,5.578094959259033,0.7387528419494629,41.48394012451172,26.69986915588379,19.215595245361328,17.677059173583984,11.587724685668945,10.061256408691406,10.282262802124023,9.358002662658691,8.542162895202637,7.5506672859191895,7.938714504241943,7.295471668243408,6.643857479095459,0.5125462412834167,0.4416329860687256,0.573806643486023,0.3952425718307495,0.3980677127838135,0.5308691263198853,0.39373496174812317,0.4147384464740753,0.44158124923706055,0.44789862632751465,0.4939418137073517,0.4428211748600006,21.305686104918795,15.542526383966889,18.34575288214541,18.133400825651638,16.626242565322002,16.229589941148546,45.817862443221365,3,love
Air,La Femme d'Argent,0.7170942818134025,0.6258166199981511,161.4990234375,0.2468746304512024,0.07326606661081314,0.07675637726213036,0.16588235427555167,0.07636412510888502,-82.49820709228516,118.21830749511719,6.939790725708008,31.900651931762695,6.176670551300049,14.729293823242188,-3.6140596866607666,6.368200302124023,1.2150599956512451,2.8474509716033936,-14.115711212158203,2.1832189559936523,-4.67949104309082,47.65328598022461,21.85084342956543,22.232725143432617,16.71759033203125,12.664305686950684,13.703872680664062,13.30798053741455,11.513779640197754,9.834403038024902,8.52656078338623,11.025262832641602,9.566581726074219,10.434518814086914,0.3457740247249603,0.2701056897640228,0.3896438181400299,0.26060932874679565,0.3029819428920746,0.26836296916007996,0.40016525983810425,0.21010549366474152,0.2167775183916092,0.47341638803482056,0.4111366271972656,0.5551573634147644,21.941835082299697,15.462547135663124,18.49205234019762,21.098990230724684,22.485739635221915,20.769320334530526,54.758602954443774,5,feel good
